"companyId","companyCn","website","contactStatus","contactSource","industry","industryTags","stage","priority","owner","contactName","contactPhone","contactEmail","intendedArea","intentionType","lastContact","nextFollowUp","notes","contractStatus","contractNumber","contractAmount","depositAmount","depositPaidDate","applicationStatus","balanceAmount","balanceDueDate","paymentStatus","contractNotes","profileExtra","updatedAt"
"16","","https://www.enetool.com.cn","中文主体及联系方式待补充","https://www.thesmartere.de/exhibitorlist/enetool-shenzhen-technology-co-ltd","新能源与储能","[]","未联系","中","","","","","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.55,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/enetool-shenzhen-technology-co-ltd""}}","2026-07-15T10:44:49.696Z"
"17","佛山市伊戈尔电子有限公司","https://www.eaglerise.com","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/foshan-eaglerise-power-science-technology-shunde-co-ltd","新能源与储能","[]","未联系","中","","","+867968992968","sales@eaglerise.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/foshan-eaglerise-power-science-technology-shunde-co-ltd""}}","2026-07-15T10:43:56.611Z"
"18","广东奥克莱集团有限公司","https://www.aokly-battery.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","已联系","高","","","+8613822104886","joyce.yan@aokly-battery.com","","","","2026-07-15","已发送申请表，等回传","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.aokly-battery.com""},""historicalExhibitionEvidence"":[{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B2.280"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":28}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:38.531Z"
"19","广东成威源科技有限公司","https://cenwellpower.com","2026展商资料已整理，待最终人工抽检","企业官网 + The smarter E Europe 2026官方展商目录（2026-07-15核验）","新能源与储能","[]","未联系","中","","","+867522299951","sales01@cenwellpower.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-cenwell-technology-co-ltd""}}","2026-07-15T10:43:34.580Z"
"20","广东吉迈斯铝业有限公司","https://www.gleemaxthermal.com","联系方式已整理，中文工商主体待人工确认","The smarter E Europe 2026官方展商目录 + 企业官网（2026-07-15核验）","新能源与储能","[]","未联系","中","","","0086 18502086016","info@gleemax-alu.com","","","","","","未签订","","","","","未提交","","","未收款","","{""registeredCity"":""佛山市"",""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.85,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-gleemax-aluminium-coltd""},""unifiedSocialCreditCode"":""9144 0115 MAEL 3B92 18"",""creditStatus"":""人工填写"",""registeredAddress"":""广州市南沙区进港大道10号918房A32"",""masterCompany"":""Guangdong Gleemax Aluminium Co.,LTD"",""masterProvince"":""广东省"",""masterCity"":""待核实"",""masterExhibitions"":[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""Intersolar Europe"",""booth"":""A1.630"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":3}]}","2026-07-16T07:15:56.551Z"
"21","亿纬锂能股份有限公司","https://www.evebattery.com/en","2026展商资料已整理，待最终人工抽检","https://www.thesmartere.de/exhibitorlist/eve-energy-co-ltd","新能源与储能","[]","未联系","中","","","+86-752-2630809","128287@evebattery.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/eve-energy-co-ltd""}}","2026-07-15T10:43:56.600Z"
"22","深圳市光瑞实业有限公司","https://www.gobelpower.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","","","cs@gobelpower.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.gobelpower.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""C1.375"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":21},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B0.254"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":49},{""year"":""2023"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""B0.340"",""sourceFile"":""2023The smarter E Europe2023德国展商列表(含页码）.pdf"",""sourcePage"":27}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:05:17.832Z"
"23","广东贝森格润新能源有限公司￼￼","https://www.basenpower.com","历年展商资料已整理，联系方式待人工抽检","企业官网 + The smarter E Europe 2026官方展商目录（2026-07-15核验）","新能源与储能","[]","未联系","中","","","+86-15818721692","taylor@basengreen.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.75,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.basenpower.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C3.154"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":22},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C3.234"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":52}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""},""unifiedSocialCreditCode"":""9144 1322 MABQ 041D 48"",""creditStatus"":""人工填写"",""registeredAddress"":""惠州市博罗县园洲镇博罗智能装备制造产业园兴尚路1号瑛伦产业园C栋4楼"",""masterCompany"":""Guangdong Basen Green New Energy Co.,Ltd"",""masterProvince"":""广东省"",""masterCity"":""待核实"",""masterExhibitions"":[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""ees Europe"",""booth"":""C3.755"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":3},{""company"":""Guangdong Basen Green New Energy Co.,Ltd"",""companyCn"":"""",""booth"":""C3.154"",""exhibition"":""ees Europe"",""event"":""The smarter E Europe"",""year"":""2025"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":22},{""company"":""Guangdong Basen Green New Energy Co.,Ltd"",""companyCn"":"""",""booth"":""C3.234"",""exhibition"":""ees Europe"",""event"":""The smarter E Europe"",""year"":""2024"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":52}]}","2026-07-16T07:13:01.571Z"
"24","广东易能时代科技股份有限公司","https://en.ensds.com/","2026展商资料已整理，待最终人工抽检","企业官网/官方资料 + The smarter E Europe 2026展商目录（2026-07-15核验）","新能源与储能","[]","未联系","中","","","","3278260566@qq.com","","","","","","未签订","","","","","未提交","","","未收款","","{""registeredCity"":""广州市"",""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.95,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-contemporary-e-energy-technology-co-limited""}}","2026-07-15T10:43:34.623Z"
"25","广东晶正科技有限公司","https://www.jingzhengkeji.com","展会官方目录已核验，中文主体待人工确认","The smarter E Europe 2026官方展商目录 + 企业官网（2026-07-15核验）","新能源与储能","[]","未联系","中","","","+86 020-32033439","kingtech@jingzhengkeji.com","","","","","","未签订","","","","","未提交","","","未收款","","{""registeredCity"":""广州市"",""aiEnrichment"":{""reviewStatus"":""待人工审核"",""confidence"":0.92,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网+展会官方目录"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-jingzheng-technology-coltd""},""unifiedSocialCreditCode"":""9144 0101 MA59 KPBX 1L"",""creditStatus"":""人工填写"",""registeredAddress"":""广州市黄埔区开泰大道188号1601、1602房""}","2026-07-15T10:50:43.511Z"
"26","","https://www.mespalsolar.com/","联系方式已整理，中文工商主体待人工确认","The smarter E Europe 2026官方展商目录 + 企业官网（2026-07-15核验）","新能源与储能","[]","未联系","中","","","+86 400 0448399","business@mespalsolar.com","","","","","","未签订","","","","","未提交","","","未收款","","{""registeredCity"":""佛山市"",""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.85,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""The smarter E Europe官方目录+企业官网"",""sourceUrl"":""https://www.thesmartere.de/exhibitorlist/guangdong-mespal-technology-coltd""}}","2026-07-15T10:43:35.570Z"
"27","广东新昇电业科技股份有限公司","https://http：//www.fsnre.com","2026展商资料已整理，待最终人工抽检","企业官网/可信公开资料（2026-07-15整理）","新能源与储能","[]","未联系","中","","","0086 18929904920","1092369059@qq.com","","","","","","未签订","","","","","未提交","","","未收款","","{""aiEnrichment"":{""reviewStatus"":""待人工抽检"",""confidence"":0.9,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://http：//www.fsnre.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C2.470"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":23},{""year"":""2024"",""event"":""The smarter E Europe"",""exhibition"":""ees Europe"",""booth"":""C2.570"",""sourceFile"":""2024The smarter E Europe exhibitor list 6.27(2024含页码)(1).pdf"",""sourcePage"":52}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""}}","2026-07-15T11:00:42.905Z"
"28","广东优贝特科技有限公司","","中文主体已识别，联系方式待补充","2024展商会刊","新能源与储能","[]","已联系","高","陈胜华","","","","36","","","","已交定金","未签订","","","40000","","已提交","0","","已收定金","","{""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.8,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""2026展商PDF"",""sourceUrl"":""""},""unifiedSocialCreditCode"":""91441302MAC5C2Y27F"",""creditStatus"":""人工填写"",""registeredAddress"":""惠州市惠阳区良井镇官田大道45号1号厂房"",""masterCompany"":""GUANGDONG UBETTER TECHNOLOGY COMPAN LIMITED"",""masterProvince"":""广东省"",""masterCity"":""待核实"",""masterExhibitions"":[{""event"":""The smarter E Europe"",""year"":""2026"",""exhibition"":""Intersolar Europe"",""booth"":""A1.520"",""sourceFile"":""Exhibitor List2026 欧洲智慧能源展.pdf"",""sourcePage"":4}]}","2026-07-17T08:34:31.366Z"
"29","广东泽阳智能科技有限公司","https://www.zeyang-ai.com","历年展商资料已整理，联系方式待人工抽检","企业官网/官方资料 + The smarter E Europe 2026展商目录（2026-07-15核验）","新能源与储能","[]","未联系","中","","Chuanbo Liu","+86 15618559327","sales@zeyang-ai.com","","","","","","未签订","","","","","未提交","","","未收款","","{""registeredCity"":""佛山市"",""aiEnrichment"":{""reviewStatus"":""待人工补充"",""confidence"":0.75,""lastVerifiedAt"":""2026-07-15"",""sourceType"":""企业官网/公开资料+历年PDF"",""sourceUrl"":""https://www.zeyang-ai.com""},""historicalExhibitionEvidence"":[{""year"":""2025"",""event"":""The smarter E Europe"",""exhibition"":""Intersolar Europe"",""booth"":""A6.150"",""sourceFile"":""2025The smarter E Europe展商列表0626（2025含页码）(1).pdf"",""sourcePage"":23}],""dataQuality"":{""ocrInvalid"":false,""deduplicatedAt"":""2026-07-15""},""registeredAddress"":""佛山市三水区西南街道锦恒路24号6栋701之八"",""unifiedSocialCreditCode"":""9144 0607 MA55 FTQW 93"",""creditStatus"":""人工填写""}","2026-07-15T13:30:18.318Z"
